"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.00213406813627255,0.00213416833667335,-0.424141583166333,0.00156531324140759,0.00156531155953833,6.96355710116321e-05,0.00154078156312625,0.0022749498997996,-0.000508617234468938,0.938877755511022,0.938877755511022,NA,0.00156829903807615,0.00156829778557114,0.179965648366733
"h4",-0.00037064128256513,-0.000370741482965932,-0.307945691382766,0.00121525294863549,0.00121526415812568,6.99122131122827e-05,0.00122024048096192,0.00158156312625251,0.000404909819639279,0.915831663326653,0.915831663326653,0,0.00121417263527054,0.00121418390781563,0.094900391002004
"g1",-0.000580360721442886,-0.000580360721442886,-0.390320440881764,0.00032389385664006,0.00032389385664006,6.56396820521685e-05,0.000346993987975952,0.000502204408817635,-0.000903406813627254,0.955911823647295,0.955911823647295,NA,0.000323906132264529,0.000323906132264529,0.152415620480962
"g4",-2.58517034068136e-05,-2.58517034068136e-05,-0.269225851703407,0.000160456181570764,0.000160456181570764,5.82129318215166e-05,0.000175951903807615,0.000207715430861723,0.000222044088176353,0.950901803607214,0.950901803607214,0,0.000160296072144289,0.000160296072144289,0.0725407138276553
"c1",0,0,-0.785561022044088,0,0,0.000124953634661499,0,0,-0.000201402805611222,1,1,NA,0,0,0.617230947785571
"c2",0,0,-0.868404609218437,0,0,6.4318032896284e-05,0,0,-1e-04,1,1,NA,0,0,0.754190818897796
"c3",0,0,-0.8219750501002,0,0,0.000111348032846033,0,0,-0.000193186372745491,1,1,NA,0,0,0.675754219448898
"c4",0,0,-0.844102404809619,0,0,7.07080784638484e-05,0,0,-1e-04,1,1,NA,0,0,0.712579507034068
"b1",0,0,-0.140488476953908,0,0,7.3511993465366e-05,0,0,1e-04,1,1,0,0,0,0.019810450490982
"b2",0,0,-0.122399098196393,0,0,5.92638808308694e-05,0,0,1e-04,1,1,0,0,0,0.0150407437374749
"b3",0,0,-0.166613527054108,0,0,0.000102972785741996,0,0,0.000150400801603206,1,1,0,0,0,0.027862937004008
"b4",0,0,-0.0998667334669339,0,0,3.95853716661005e-05,0,0,2.27454909819639e-05,1,1,0,0,0,0.0100129101603206
"r1",-0.000658917835671343,-0.000658917835671343,0.056323246492986,0.000338356906350313,0.000338356906350313,0.0157575410237526,3e-04,0,73.3289164328657,0.945891783567134,0.945891783567134,1,0.000338452044088176,0.000338452044088176,0.01891406
"r2",-0.000104208416833667,-0.000104208416833667,0.032986873747495,0.000136453964217301,0.000136453964217301,0.00555419099101915,1e-04,0,25.8136063126253,0.939879759519038,0.939879759519038,1,0.000136328096192385,0.000136328096192385,0.00663675950901804
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
